timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,ground_truth_camera_distance_m,estimation_error_m
0.123,0.123,True,-0.007712936401367188,1.7982142258677214,1.2,nan,0.0,0.0,nan,nan,nan,2.0093368299515344,0.006743629017073663,nan,nan
0.15,0.15,True,-0.00994110107421875,1.7992524696149022,1.2,nan,0.0,0.0,nan,nan,nan,2.0112488281616208,0.008124788413111364,nan,nan
0.186,0.186,True,-0.012288570404052734,1.8056143445505106,1.2,nan,0.0,0.0,nan,nan,nan,2.016871045199957,0.012186785901224509,nan,nan
0.223,0.223,True,-0.01489877700805664,1.811899480189215,1.2,nan,0.0,0.0,nan,nan,nan,2.0205803189308593,0.014867453316299012,nan,nan
0.251,0.251,True,-0.017656421661376952,1.8087828894198552,1.2,nan,0.0,0.0,nan,nan,nan,2.0244005271764274,0.017629088001591773,nan,nan
0.315,0.315,True,-0.022884941101074217,1.8206720965343346,1.2,nan,0.0,0.0,nan,nan,nan,2.03001519930892,0.021689722813507794,nan,nan
0.348,0.348,True,-0.0251922607421875,1.8258058129589303,1.2,nan,0.0,0.0,nan,nan,nan,2.033718368272734,0.02436928751104917,nan,nan
0.379,0.379,True,-0.028043746948242188,1.824758436536251,1.2,nan,0.0,0.0,nan,nan,nan,2.037419242293124,0.027048437550520724,nan,nan
0.416,0.416,True,-0.030655670166015624,1.829937625441404,1.2,nan,0.0,0.0,nan,nan,nan,2.0412295975841035,0.02980829209628625,nan,nan
0.449,0.449,True,-0.03304271697998047,1.8352545298225773,1.2,nan,0.0,0.0,nan,nan,nan,2.0449250374910726,0.03248646002594092,nan,nan
0.481,0.481,True,-0.0353795051574707,1.839140074538597,1.2,nan,0.0,0.0,nan,nan,nan,2.04861741970502,0.03516407517895802,nan,nan
0.516,0.516,True,-0.037879657745361325,1.8453600209807601,1.2,0.5177080151311679,0.0,0.0,-1.1635184220582912e-19,2.8653398956313573e-39,-4.925302154756612e-20,2.0524182287028783,0.03792220389406947,1.7177080151311679,0.12765200584959224
0.55,0.55,True,-0.04015169143676758,1.8474204979431286,1.2,0.52323776786831,0.0,0.0,-1.2647424630389894e-19,3.403118176866525e-39,-5.616621677050712e-20,2.0580006956642873,0.04197701702030298,1.72323776786831,0.12418273007481861
0.58,0.58,True,-0.04275426864624023,1.8533623785383808,1.2,0.5250075417714919,0.0,0.0,-1.185361575657855e-19,2.921861393457972e-39,-6.383743322729024e-20,2.0597852128121663,0.04327421849218973,1.7250075417714918,0.12835483676688897
0.617,0.617,True,-0.045565223693847655,1.8536620654706968,1.2,0.5305383852425949,0.0,0.0,-1.1972603618725958e-19,3.012724275225971e-39,-7.174561815374593e-20,2.065355533294338,0.04732683374371906,1.7305383852425948,0.12312368022810194
0.646,0.646,True,-0.047906494140625,1.8567167216744516,1.2,0.5324188544946491,0.0,0.0,-1.2007309537268487e-19,3.0096299294804656e-39,-8.122606175632329e-20,2.0672471596131197,0.04870430972728252,1.732418854494649,0.12429786717980251
0.676,0.676,True,-0.05060262680053711,1.860981359021,1.2,0.5360689406056818,0.0,0.0,-1.2759364746794985e-19,3.618222303505633e-39,-8.261853145871948e-20,2.0709156421073978,0.05137760029682319,1.7360689406056817,0.1249124184153183
0.743,0.743,True,-0.05507926940917969,1.8707326792727368,1.2,0.5434777589897724,0.0,0.0,-1.3042362915801372e-19,3.840992949349793e-39,-9.324560806100571e-20,2.078348661917118,0.05680245290771168,1.7434777589897723,0.12725492028296448
0.776,0.776,True,-0.05739936828613281,1.8720513083241974,1.2,0.5471253515986076,0.0,0.0,-1.398488550195672e-19,4.734627178779491e-39,-9.400826567259605e-20,2.0820017514347158,0.059472954455937733,1.7471253515986076,0.12492595672558982
0.844,0.844,True,-0.06270265579223633,1.878844751090334,1.2,0.5545265441387441,0.0,0.0,-1.3832816918144634e-19,4.446418445824565e-39,-1.1229250075059715e-19,2.0894011988577774,0.0648917208204383,1.754526544138744,0.12431820695159002
0.882,0.882,True,-0.06506280899047852,1.8819872761590395,1.2,0.5581691203807695,0.0,0.0,-1.2404224048222707e-19,2.7968273315125843e-39,-1.1633864659853063e-19,2.093036612336659,0.06755901608691593,1.7581691203807694,0.12381815577827004
0.913,0.913,True,-0.0670553207397461,1.8913749071212775,1.2,0.5619197662132998,0.0,0.0,-1.2102069551830686e-19,2.417805352376357e-39,-1.2697494456043424e-19,2.0967755642434165,0.07030593566568716,1.7619197662132997,0.12945514090797783
0.946,0.946,True,-0.06969242095947266,1.8879313468961316,1.2,0.5655575753162405,0.0,0.0,-1.897233324331887e-19,-4.039845595469065e-36,1.3706279357450186e-16,2.1003978629592854,0.07297084953380858,1.7655575753162405,0.12237377157989116
0.977,0.977,True,-0.071875,1.8923510348141739,1.2,0.5691926230144244,0.0,0.0,-1.7401841586018783e-19,-2.0487011855764336e-36,1.1128827532467195e-16,2.1040133283843643,0.07563452175907902,1.7691926230144244,0.12315841179974951
1.009,1.009,True,-0.07399835586547851,1.9043544458036217,1.2,0.5729346478902777,0.0,0.0,-1.5623168350149742e-19,-3.8794842305783725e-37,7.324714785315751e-17,2.10773094636505,0.07837756478962433,1.7729346478902777,0.13141979791334402
1.041,1.041,True,-0.07667675018310546,1.9018449006630158,1.2,0.5765632522134754,0.0,0.0,-1.4356547569613974e-19,4.441521933846347e-37,4.8125466372044494e-17,2.111331781664535,0.081038576700398,1.7765632522134753,0.12528164844954048
1.075,1.075,True,-0.0790719985961914,1.905932590628133,1.2,0.5801882717697526,0.0,0.0,-1.4155994856770655e-19,5.251104497979239e-37,3.898659799970823e-17,2.1149250394876096,0.08369820969109525,1.7801882717697526,0.12574431885838044
