timestamp_s,elapsed_s,valid_detection,horizontal_error,estimated_distance_m,target_distance_m,distance_target_error_m,linear_command_mps,angular_command_radps,robot_x_m,robot_y_m,robot_yaw_rad,target_x_m,target_y_m,ground_truth_camera_distance_m,estimation_error_m
0.058,0.058,True,-0.001836395263671875,1.790597555902218,1.2,nan,0.0,0.0,nan,nan,nan,2.001912494242583,0.0013812489604657298,nan,nan
0.096,0.096,True,-0.004587936401367188,1.7982027106960956,1.2,nan,0.6496573114924399,-0.0,nan,nan,nan,2.0056248535167693,0.004062473551483949,nan,nan
0.119,0.119,True,-0.007372093200683594,1.7950565775348555,1.2,nan,0.6580229817657053,-0.0,nan,nan,nan,2.0093368299515344,0.006743629017073663,nan,nan
0.153,0.153,True,-0.00994110107421875,1.7992524696149022,1.2,nan,0.6545622352883411,-0.0,nan,nan,nan,2.0112488281616208,0.008124788413111364,nan,nan
0.186,0.186,True,-0.012288570404052734,1.8056143445505106,1.2,nan,0.6591777165763925,-0.0,nan,nan,nan,2.016871045199957,0.012186785901224509,nan,nan
0.228,0.228,True,-0.01489877700805664,1.811899480189215,1.2,nan,0.6661757790055618,-0.0,nan,nan,nan,2.0205803189308593,0.014867453316299012,nan,nan
0.254,0.254,True,-0.017656421661376952,1.8087828894198552,1.2,nan,0.6730894282081366,-0.0,nan,nan,nan,2.0244005271764274,0.017629088001591773,nan,nan
0.287,0.287,True,-0.0203125,1.8143646518299759,1.2,nan,0.6696611783618408,-0.0,nan,nan,nan,2.028106693029071,0.020309194090461953,nan,nan
0.315,0.315,True,-0.022884941101074217,1.8206720965343346,1.2,nan,0.6620739068236475,0.052812500000000005,nan,nan,nan,2.03001519930892,0.021689722813507794,nan,nan
0.347,0.347,True,-0.0251922607421875,1.8258058129589303,1.2,nan,0.6671148573782728,0.059500846862792965,nan,nan,nan,2.033718368272734,0.02436928751104917,nan,nan
0.414,0.414,True,-0.030655670166015624,1.829937625441404,1.2,nan,0.6710443847193815,0.0654998779296875,nan,nan,nan,2.0412295975841035,0.02980829209628625,nan,nan
0.447,0.447,True,-0.03304271697998047,1.8352545298225773,1.2,nan,0.6716891119077801,0.07970474243164062,nan,nan,nan,2.0449250374910726,0.03248646002594092,nan,nan
0.481,0.481,True,-0.0353795051574707,1.839140074538597,1.2,nan,0.6756903936017393,0.08591106414794923,nan,nan,nan,2.04861741970502,0.03516407517895802,nan,nan
0.515,0.515,True,-0.037879657745361325,1.8453600209807601,1.2,nan,0.678180376472624,0.09198671340942383,nan,nan,nan,2.0524182287028783,0.03792220389406947,nan,nan
0.549,0.549,True,-0.04015169143676758,1.8474204979431286,1.2,nan,0.6830054046898169,0.09848711013793945,nan,nan,nan,2.0561036300233524,0.04059855659754713,nan,nan
0.579,0.579,True,-0.04275426864624023,1.8533623785383808,1.2,nan,0.6835680168678656,0.10439439773559571,nan,nan,nan,2.0597852128121663,0.04327421849218973,nan,nan
0.611,0.611,True,-0.045565223693847655,1.8536620654706968,1.2,nan,0.687971182671305,0.11116109848022461,nan,nan,nan,2.0635741001350008,0.04603019042464676,nan,nan
0.648,0.648,True,-0.047906494140625,1.8567167216744516,1.2,nan,0.6862655879610763,0.1184695816040039,nan,nan,nan,2.0672471596131197,0.04870430972728252,nan,nan
0.712,0.712,True,-0.05266284942626953,1.864471540124061,1.2,nan,0.6877812984850544,0.124556884765625,nan,nan,nan,2.074690239823965,0.05413098483161839,nan,nan
0.776,0.776,True,-0.05739936828613281,1.8720513083241974,1.2,nan,0.692426433004313,0.1369234085083008,nan,nan,nan,2.0820017514347158,0.059472954455937733,nan,nan
