sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788979254.6264217,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788979254.646349,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
3.726,1788979254.666739,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
3.747,1788979254.6867592,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
3.766,1788979254.7064354,IDLE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.621095570993524e-05
3.786,1788979254.726413,IDLE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.806,1788979254.747002,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.826,1788979254.7666857,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.846,1788979254.78631,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.866,1788979254.8064463,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.886,1788979254.8266542,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.906,1788979254.846463,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.927,1788979254.8664234,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.947,1788979254.8862789,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.966,1788979254.9061472,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
3.986,1788979254.9272926,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.006,1788979254.9465158,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.026,1788979254.9669113,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.046,1788979254.9864378,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.067,1788979255.0072045,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.087,1788979255.0268087,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.106,1788979255.0467355,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.126,1788979255.0667148,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.146,1788979255.0866094,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.166,1788979255.106281,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.186,1788979255.1265607,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.206,1788979255.1465974,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.227,1788979255.166314,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.246,1788979255.1862774,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.266,1788979255.2062218,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.286,1788979255.226168,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.306,1788979255.2461953,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.326,1788979255.266134,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.347,1788979255.2863,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.367,1788979255.306265,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.386,1788979255.3262658,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.406,1788979255.3466117,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.426,1788979255.3665555,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.446,1788979255.3868034,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.466,1788979255.4067194,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.486,1788979255.4263203,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.506,1788979255.4466596,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.526,1788979255.4662645,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.547,1788979255.4864078,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.566,1788979255.506617,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.586,1788979255.5264292,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.606,1788979255.5467408,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.624,1788979255.5669634,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.64,1788979255.5872746,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.662,1788979255.6070833,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.68,1788979255.62625,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.702,1788979255.646855,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.72,1788979255.6663058,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
4.741,1788979255.6876423,FREEZE_BASE,-0.04422680379613258,-0.22987215105766823,0.16249999434009846,False,-0.00012245973754608906,-0.0003541729894872194,nan,nan,nan,nan,nan,nan,-0.0005498067834701978,7.621095570993524e-05
