sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788978992.811688,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.8315668,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.85163,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.8717065,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.89162,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.9116318,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.9316254,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.9518182,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.9715464,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978992.9916935,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.011725,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.0316353,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.0516787,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.07159,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.0916033,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.1115036,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788978993.1316535,FREEZE_BASE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
