sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg
0.0,1788981813.9212997,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
0.0,1788981813.941391,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.218,1788981813.9612403,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.238,1788981813.981759,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf
1.257,1788981814.001317,IDLE,-0.04399999121484281,-0.2250029395448474,0.16249995359009753,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020841141094151425
1.277,1788981814.0211585,IDLE,-0.044000019871850364,-0.22500375753367935,0.16250000072177165,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.0
1.297,1788981814.0420904,IDLE,-0.04400001551549899,-0.2250036314408188,0.1624912251432111,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.318,1788981814.061551,IDLE,-0.04400001551549881,-0.22500363144081664,0.16249326190943614,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.338,1788981814.081541,IDLE,-0.044000015515498696,-0.2250036314408153,0.16249427502694253,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.358,1788981814.101637,IDLE,-0.044000015515498564,-0.22500363144081373,0.16249528451495032,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.377,1788981814.1214821,IDLE,-0.0440000155154984,-0.22500363144081173,0.162496312787304,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.397,1788981814.141385,IDLE,-0.0440000155154984,-0.22500363144081173,0.162496312787304,False,-5.76564722115324e-06,-2.0252084690231182e-05,nan,nan,nan,nan,nan,nan,-2.502976221174547e-05,0.000321115380160188
1.418,1788981814.1614163,IDLE,-0.04400001551549818,-0.22500363144080915,0.16249732187582105,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802202676,-0.15963601837575525,0.27172260035463974,-0.03150976080173281,-0.15963598083110336,0.2717226003546399,-2.502976221174547e-05,0.000321115380160188
1.438,1788981814.1813867,IDLE,-0.04400001551549818,-0.22500363144080915,0.16249732187582105,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802202676,-0.15963601837575525,0.27172260035463974,-0.03150976080173281,-0.15963598083110336,0.2717226003546399,-2.502976221174547e-05,0.000321115380160188
1.457,1788981814.201177,IDLE,-0.04400001551549787,-0.2250036314408054,0.16249832616182422,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802202745,-0.1596360183772861,0.2717226003490347,-0.031509760801732865,-0.15963598083263417,0.2717226003490349,-2.502976221174547e-05,0.000321115380160188
1.478,1788981814.2217233,IDLE,-0.04400001551549787,-0.2250036314408054,0.16249832616182422,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802225494,-0.1596360183809435,0.27172260033490586,-0.03150976080175563,-0.15963598083629135,0.27172260033490603,-2.502976221174547e-05,0.000321115380160188
1.497,1788981814.2414784,IDLE,-0.04400001551549787,-0.2250036314408054,0.16249832616182422,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802225494,-0.1596360183809435,0.27172260033490586,-0.03150976080175563,-0.15963598083629135,0.27172260033490603,-2.502976221174547e-05,0.000321115380160188
1.518,1788981814.2621405,IDLE,-0.04400001551549787,-0.2250036314408054,0.16249832616182422,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802248292,-0.15963601838613187,0.27172260031517204,-0.03150976080177844,-0.15963598084147954,0.2717226003151722,-2.502976221174547e-05,0.000321115380160188
1.538,1788981814.2814374,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802248292,-0.15963601838613187,0.27172260031517204,-0.03150976080177844,-0.15963598084147954,0.2717226003151722,-2.502976221174547e-05,0.000321115380160188
1.557,1788981814.3011913,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802248292,-0.15963601838613187,0.27172260031517204,-0.03150976080177844,-0.15963598084147954,0.2717226003151722,-2.502976221174547e-05,0.000321115380160188
1.578,1788981814.3214538,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802271114,-0.15963601839132013,0.27172260029543815,-0.03150976080180123,-0.1596359808466675,0.2717226002954383,-2.502976221174547e-05,0.000321115380160188
1.597,1788981814.3420742,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802271114,-0.15963601839132013,0.27172260029543815,-0.03150976080180123,-0.1596359808466675,0.2717226002954383,-2.502976221174547e-05,0.000321115380160188
1.618,1788981814.3613753,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.0300097608022939,-0.1596360183965083,0.2717226002757043,-0.03150976080182405,-0.1596359808518555,0.27172260027570444,-2.502976221174547e-05,0.000321115380160188
1.637,1788981814.381285,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.0300097608022939,-0.1596360183965083,0.2717226002757043,-0.03150976080182405,-0.1596359808518555,0.27172260027570444,-2.502976221174547e-05,0.000321115380160188
1.657,1788981814.401274,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080229395,-0.15963601839803904,0.27172260027009926,-0.03150976080182406,-0.15963598085338626,0.2717226002700994,-2.502976221174547e-05,0.000321115380160188
1.678,1788981814.4219012,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080231671,-0.15963601840169656,0.2717226002559704,-0.03150976080184686,-0.15963598085704356,0.27172260025597056,-2.502976221174547e-05,0.000321115380160188
1.696,1788981814.4416304,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080231671,-0.15963601840169656,0.2717226002559704,-0.03150976080184686,-0.15963598085704356,0.27172260025597056,-2.502976221174547e-05,0.000321115380160188
1.717,1788981814.4612784,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802339518,-0.15963601840688485,0.2717226002362365,-0.03150976080186966,-0.1596359808622316,0.2717226002362367,-2.502976221174547e-05,0.000321115380160188
1.738,1788981814.4817228,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802339518,-0.15963601840688485,0.2717226002362365,-0.03150976080186966,-0.1596359808622316,0.2717226002362367,-2.502976221174547e-05,0.000321115380160188
1.758,1788981814.5017529,IDLE,-0.04400001551549729,-0.2250036314407984,0.16249932736115713,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.030009760802339518,-0.15963601840680886,0.2717226002333332,-0.03150976080186966,-0.1596359808621557,0.2717226002333334,-2.502976221174547e-05,0.000321115380160188
1.777,1788981814.521474,IDLE,-0.04399998260249813,-0.22500266956907722,0.16249987851972128,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080236232,-0.15963601841207303,0.27172260021650263,-0.03150976080189245,-0.15963598086741962,0.27172260021650285,-2.502976221174547e-05,0.0027719714992860767
1.798,1788981814.5412204,IDLE,-0.0440000069772251,-0.2250033806072148,0.16250001434973926,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080236232,-0.15963601841207303,0.27172260021650263,-0.03150976080189245,-0.15963598086741962,0.27172260021650285,-2.502976221174547e-05,0.0009602259012320727
1.818,1788981814.561684,IDLE,-0.044000019329989544,-0.2250037410123193,0.16249999997714662,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080238513,-0.15963601841726138,0.27172260019676875,-0.031509760801915275,-0.15963598087260772,0.27172260019676897,-2.502976221174547e-05,4.1930630891383725e-05
1.838,1788981814.5812669,IDLE,-0.044000018149402464,-0.22500371964646376,0.16249999983042246,False,-5.76564722115324e-06,-2.0252084690231182e-05,-0.03000976080238513,-0.15963601841726138,0.27172260019676875,-0.031509760801915275,-0.15963598087260772,0.27172260019676897,-2.502976221174547e-05,9.641973898242277e-05
