sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m
0.0,1788896882.413691,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.4335968,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.453602,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.47364,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.4935505,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.5137663,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.5339215,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.5544572,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.5760243,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.5935457,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.6135566,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.6335464,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.65359,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.6736782,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.6937966,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.713669,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.7336235,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1788896882.7536268,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.869,1788896882.773508,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
0.869,1788896883.097993,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan
1.32,1788896883.1140053,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.321,1788896883.134763,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.341,1788896883.1539655,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.354,1788896883.1736748,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.354,1788896883.1939247,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.375,1788896883.2136106,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.387,1788896883.2336226,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,nan,nan,nan,nan,nan,nan,nan,nan
1.387,1788896883.2542038,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.709281948512986e-17,1.7407874030473232e-28,nan,nan,nan,nan,nan,nan
1.407,1788896883.2738197,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.709281948512986e-17,1.7407874030473232e-28,-0.03000000000031273,-0.15961651722884973,0.2717226003743737,-0.04470000000030363,-0.1550680705964001,0.2718414836449629
1.42,1788896883.2935889,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.708931066272155e-17,1.7406615761949093e-28,-0.030000000000335394,-0.15961651723403786,0.2717226003546398,-0.04470000000032562,-0.15506807060160213,0.2718414836258394
1.429,1788896883.313668,IDLE,-0.04400002042947591,-0.22500378055395925,0.16250000004099713,False,9.708931066272155e-17,1.7406615761949093e-28,-0.030000000000335394,-0.15961651723403786,0.2717226003546398,-0.04470000000032562,-0.15506807060160213,0.2718414836258394
