sim_time_s,wall_time_s,state,object_x_m,object_y_m,object_z_m,attached,base_x_m,base_y_m,tool_x_m,tool_y_m,tool_z_m,grasp_x_m,grasp_y_m,grasp_z_m,base_yaw_rad,object_tilt_deg,m1_rad,m2_rad,m3_rad,m4_rad,m5_rad,m6_rad
0.0,1788982320.0539007,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.311,1788982320.0738494,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.327,1788982320.0942338,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.336,1788982320.1174402,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.351,1788982320.1340427,IDLE,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,nan,nan
1.369,1788982320.154356,IDLE,nan,nan,nan,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,inf,nan,nan,nan,nan,nan,nan
1.386,1788982320.1742783,IDLE,nan,nan,nan,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,inf,nan,nan,nan,nan,nan,nan
1.404,1788982320.1939642,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422141960912193e-12,0.009670960908388182,0.014479912941682615,-6.276639941462324e-12,0.0014309658951113565,1.8825379432184708e-05
1.411,1788982320.2153802,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422141986848882e-12,0.009670960912614905,0.014479912957678446,-6.304669828237099e-12,0.0014309659017119176,1.882537942562656e-05
1.429,1788982320.2347925,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221419746398238e-12,0.009670960916841626,0.014479912973674276,-6.332699754448835e-12,0.0014309659083124784,1.8825379419068175e-05
1.448,1788982320.2542782,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221422210093343e-12,0.009670960925295072,0.014479913005665937,-6.3887596588221645e-12,0.0014309659215136043,1.8825379405951152e-05
1.468,1788982320.2754598,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422142401420551e-12,0.009670960933748515,0.014479913037657602,-6.4448195276332125e-12,0.0014309659347147236,1.8825379392833983e-05
1.482,1788982320.2941244,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221424828474635e-12,0.009670960942201955,0.014479913069649266,-6.500879310226269e-12,0.0014309659479158415,1.8825379379717044e-05
1.488,1788982320.3152497,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221424828474635e-12,0.009670960942201955,0.014479913069649266,-6.500879310226269e-12,0.0014309659479158415,1.8825379379717044e-05
1.506,1788982320.3340802,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221426272222937e-12,0.009670960950655392,0.01447991310164093,-6.556939115621441e-12,0.0014309659611169635,1.8825379366600247e-05
1.525,1788982320.3539863,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221428154346074e-12,0.009670960959108833,0.014479913133632597,-6.612998905866412e-12,0.0014309659743180854,1.8825379353483e-05
1.542,1788982320.374872,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422142832456793e-12,0.009670960967562273,0.014479913165624265,-6.6690586137067655e-12,0.0014309659875192044,1.8825379340366184e-05
1.559,1788982320.3945,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221429057752988e-12,0.009670960971788992,0.014479913181620096,-6.69708849779961e-12,0.0014309659941197646,1.8825379333807702e-05
1.57,1788982320.4149246,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422142945401822e-12,0.009670960976015714,0.014479913197615928,-6.725118361674973e-12,0.001430966000720323,1.88253793272495e-05
1.59,1788982320.4351263,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221428484619813e-12,0.009670960984469157,0.01447991322960759,-6.781178055947363e-12,0.001430966013921446,1.8825379314132713e-05
1.61,1788982320.453962,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,nan,nan,nan,nan,nan,nan,-6.0204088289493136e-05,7.896367786201206e-05,-2.422142882853158e-12,0.009670960992922598,0.014479913261599257,-6.837237782359754e-12,0.001430966027122563,1.8825379301015997e-05
1.625,1788982320.475228,IDLE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141165255,-0.15959481007743787,0.2718115272405268,-0.031521611408934135,-0.15959471977129236,0.27181152724052704,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221430152708007e-12,0.00967096100137604,0.014479913293590925,-6.89329752547693e-12,0.0014309660403236876,1.8825379287899377e-05
1.637,1788982320.4953904,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411697447,-0.15959481008782855,0.27181152720108526,-0.031521611408979036,-0.15959471978168255,0.2718115272010855,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221430373141446e-12,0.00967096100560276,0.014479913309586758,-6.92132739283968e-12,0.001430966046924249,1.882537928134101e-05
1.65,1788982320.5145922,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141174235,-0.15959481009821921,0.27181152716164364,-0.03152161140902393,-0.15959471979207288,0.2718115271616439,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221429806966427e-12,0.009670961009829483,0.01447991332558259,-6.949357240465294e-12,0.001430966053524814,1.8825379274782693e-05
1.668,1788982320.534586,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141174235,-0.15959481009821921,0.27181152716164364,-0.03152161140902393,-0.15959471979207288,0.2718115271616439,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221430743981596e-12,0.009670961018282923,0.014479913357574255,-7.005416990379034e-12,0.001430966066725935,1.882537926166577e-05
1.685,1788982320.5543175,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.0300216114117425,-0.159594810100187,0.27181152715833906,-0.03152161140902409,-0.15959471979404066,0.2718115271583393,-6.0204088289493136e-05,7.896367786201206e-05,-2.42214310539906e-12,0.009670961026736357,0.01447991338956592,-7.061476638606056e-12,0.0014309660799270577,1.8825379248549076e-05
1.7,1788982320.5740848,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411769355,-0.15959481010445362,0.2718115271379787,-0.03152161140905093,-0.15959471979830703,0.27181152713797896,-6.0204088289493136e-05,7.896367786201206e-05,-2.422143043610665e-12,0.009670961035189793,0.014479913421557588,-7.117536346737426e-12,0.001430966093128174,1.882537923543241e-05
1.712,1788982320.5941312,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411769355,-0.15959481010445362,0.2718115271379787,-0.03152161140905093,-0.15959471979830703,0.27181152713797896,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221430152007743e-12,0.00967096103941651,0.014479913437553421,-7.1455662296697105e-12,0.0014309660997287347,1.882537922887375e-05
1.732,1788982320.6140633,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.030021611411769355,-0.15959481010445362,0.2718115271379787,-0.03152161140905093,-0.15959471979830703,0.27181152713797896,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221428173493573e-12,0.009670961047869952,0.014479913469545082,-7.201625942486633e-12,0.001430966112929856,1.882537921575689e-05
1.752,1788982320.6339726,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141179175,-0.159594810109649,0.2718115271182579,-0.03152161140907333,-0.15959471980350215,0.2718115271182581,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221430578688025e-12,0.009670961056323396,0.014479913501536745,-7.257685795710004e-12,0.0014309661261309805,1.8825379202639585e-05
1.768,1788982320.6544833,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141179175,-0.159594810109649,0.2718115271182579,-0.03152161140907333,-0.15959471980350215,0.2718115271182581,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221431616232546e-12,0.00967096106055012,0.014479913517532578,-7.28571573410982e-12,0.001430966132731544,1.882537919608108e-05
1.788,1788982320.6745172,FREEZE_BASE,-0.044000032063802215,-0.2250122892682818,0.16249999982873486,False,-1.200536544982489e-05,-3.7698448454293554e-05,-0.03002161141179175,-0.159594810109649,0.2718115271182579,-0.03152161140907333,-0.15959471980350215,0.2718115271182581,-6.0204088289493136e-05,7.896367786201206e-05,-2.4221433302366243e-12,0.00967096106900356,0.014479913549524243,-7.341775455404303e-12,0.001430966145932669,1.882537918296382e-05
